 
;キャラクター番号(NO)
番号,25
 
;名前(NAME), 呼び名(CALLNAME)
名前,伊織弓鶴
呼び名,弓鶴
 
;基礎(BASE)
基礎,体力,2000
基礎,気力,2000
 
;素質(TALENT)
素質,好奇心,
素質,情緒豊か,
素質,貞操無頓着,
素質,痛みに強い,
素質,好色,
素質,魅惑,
素質,オトコ,
 
;能力(ABL)
能力,従順,0
能力,欲望,1
能力,技巧,3
能力,Ｃ感覚,2
能力,Ｖ感覚,0
能力,Ａ感覚,0
能力,Ｂ感覚,0
能力,奉仕精神,0
能力,露出癖,0
能力,レズっ気,0
能力,ＢＬっ気,0
能力,マゾっ気,0
能力,自慰中毒,0
能力,精液中毒,0
能力,レズ中毒,0
能力,苦痛中毒,0
能力,拘束中毒,0
能力,会話,2
能力,愛撫,0
能力,道具,0
能力,性交,1
能力,羞恥,0
能力,奉仕,0
能力,加虐,0
能力,異常,0
能力,使役,0
 
;経験(EXP)
経験,Ｃ経験,40
経験,絶頂経験,10
経験,射精経験,10
経験,性交経験,2
経験,性知識,20
経験,自慰経験,20
経験,キス経験,2
 
;相性(RELATION)
相性,6,120 ;茜	
相性,7,150 ;葵
相性,21,120 ;ついな
相性,23,120 ;ミコト


;装着物(EQUIP)
装着物,アクセサリ,0,     ;1,手袋、2,袖、3,羽衣
装着物,靴下,1,           ;1,ソックス、2,ニーソックス、3,ガーターストッキング、4,足袋
装着物,下半身下着,3,     ;1,ドロワーズ、2,パンティ、3,トランクス、4,パンティストッキング、5,褌
装着物,上半身下着,4,     ;1,ブラジャー、2,キャミソール、3,さらし、4,Ｔシャツ
装着物,下半身上着,3,     ;1,スカート、2,キュロット、3,ズボン、4,袴
装着物,上半身上着,1,     ;1,上着
装着物,全身上着,0,       ;1,和服、2,導師服、3,ワンピース
 
;キャラ情報(CSTR)
CSTR,二つ名,VOICEROID
CSTR,登場名,伊織弓鶴
CSTR,ローマ字,Iori Yuzuru
CSTR,曲１,--
CSTR,曲２,--
 
;呼び方リスト(CSTR)
CSTR,基本敬称,基本_呼び名ちゃん
CSTR,呼び方リスト,あなた_マスター/月読ショウタ_ショウタくん/月読アイ_アイちゃん/琴葉茜_茜ちゃん/琴葉葵_葵ちゃん/東北きりたん_きりたん/紲星あかり_あかりちゃん/役ついな_ついなちゃん/タカハシ_タカハシ/ＯＮＥ_ＯＮＥちゃん/ＩＡ_ＩＡちゃん/音街ウナ_ウナちゃん
 
