 
;キャラクター番号(NO)
番号,22
 
;名前(NAME), 呼び名(CALLNAME)
名前,鳴花ヒメ
呼び名,ヒメ
 
;基礎(BASE)
基礎,体力,1800
基礎,気力,1600
 
;素質(TALENT)
素質,処女,
素質,衝動的,
素質,貞操無頓着,
素質,好色,
素質,恥薄い,
素質,習得早い,
素質,舌使い,
素質,薬毒耐性,
素質,自慰しやすい,
素質,快感に素直,
素質,意地悪,
素質,親しみやすい,
素質,Ｃ敏感,
素質,貧乳,
素質,小柄,
素質,回復早い,
 
;能力(ABL)
能力,従順,1
能力,欲望,2
能力,技巧,4
能力,Ｃ感覚,1
能力,Ｖ感覚,0
能力,Ａ感覚,0
能力,Ｂ感覚,1
能力,奉仕精神,1
能力,露出癖,2
能力,レズっ気,1
能力,ＢＬっ気,0
能力,マゾっ気,0
能力,自慰中毒,0
能力,精液中毒,0
能力,レズ中毒,0
能力,苦痛中毒,0
能力,拘束中毒,0
能力,会話,1
能力,愛撫,0
能力,道具,0
能力,性交,1
能力,羞恥,0
能力,奉仕,0
能力,加虐,1
能力,異常,0
能力,使役,0
 
;経験(EXP)
 
;相性(RELATION)
相性,23,200,   ;ミコト
相性,24,150,   ;flower
 
;装着物(EQUIP)
装着物,アクセサリ,2,     ;1,手袋、2,袖、3,羽衣
装着物,靴下,1,           ;1,ソックス、2,ニーソックス、3,ガーターストッキング、4,足袋
装着物,下半身下着,2,     ;1,ドロワーズ、2,パンティ、3,トランクス、4,パンティストッキング、5,褌
装着物,上半身下着,4,     ;1,ブラジャー、2,キャミソール、3,さらし、4,Ｔシャツ
装着物,下半身上着,2,     ;1,スカート、2,キュロット、3,ズボン、4,袴
装着物,上半身上着,1,     ;1,上着
装着物,全身上着,0,       ;1,和服、2,導師服、3,ワンピース
 
;キャラ情報(CSTR)
CSTR,二つ名,AITalk
CSTR,登場名,鳴花ヒメ
CSTR,ローマ字,Meika Hime
 
;呼び方リスト(CSTR)
CSTR,基本敬称,基本_呼び名ちゃん
CSTR,呼び方リスト,月読ショウタ_ショウタくん/月読アイ_アイちゃん/弦巻マキ_マキさん/結月ゆかり_ゆかりさん/東北ずん子_ずん子さん/琴葉茜_茜ちゃん/琴葉葵_葵ちゃん/水奈瀬コウ_コウさん/京町セイカ_セイカさん/東北きりたん_きりたん/紲星あかり_あかりちゃん/東北イタコ_イタコさん/桜乃そら_そらさん/役ついな_ついなちゃん/伊織弓鶴_弓鶴さん/小春立花_立花ちゃん/さとうささら_ささらちゃん/すずきつづみ_つづみちゃん/タカハシ_タカハシさん/ＯＮＥ_ＯＮＥちゃん/ＩＡ_ＩＡちゃん/ギャラ子_ギャラ子さん/音街ウナ_ウナちゃん/鳴花ミコト_ミコト/flower_flowerセンパイ/あなた_マスター

