
;────────────
;初期状態装着物フラグ
;────────────

;<※>       現在定義(代入)が行われていないフラグ
;!抹消予定! 抹消予定フラグ(主に後方互換のため存在)

;────────────
;調教者/調教対象服装
;────────────
;アクセサリ(1=手袋/2=袖/3=羽衣)
0,アクセサリ
;靴下      (1=ソックス/2=ニーソックス/3=ガーターストッキング)
1,靴下
;下半身下着(1=ドロワーズ/2=パンティ/3=トランクス/4=パンティーストッキング)
2,下半身下着
;上半身下着(1=ブラジャー/2=スポーツブラ/3=さらし)
3,上半身下着
;下半身上着(1=スカート/2=キュロット/3=もんぺ/4=ズボン)
4,下半身上着
;上半身上着(1=上着)
5,上半身上着
;全身上着  (1=和服/2=導師服/3=ワンピース)
6,全身上着
;コスプレ  (1=ボンデージ/2=和服/3=メイド服/4=チャイナ服/5=セーラー服/6=スク水/7=バニースーツ/8=体操服)
9,コスプレ

;────────────
;薬系、数字が大きいほど効力が残る期間が長い
;────────────
;ローション
10,ローション
;媚薬
11,媚薬
;<※>利尿剤
12,利尿剤
;<※>鈴蘭の毒
18,鈴蘭の毒

;────────────
;ＣＶＡＢ系(旧仕様では2=カスタム品)
;────────────
20,バイブ
25,アナルバイブ
26,アナルビーズ
27,浣腸器＋プラグ
30,クリキャップ
31,オナホール
35,ニプルキャップ
36,ペニスバンド

;────────────
;押し倒し系
;────────────
;押し倒し中(ヒート上昇が一時停止)
37,押し倒し中

;────────────
;ＳＭ系
;────────────
;縄(数値は縛り強度)
40,縄
41,アイマスク
42,ボールギャグ
43,三角木馬

;────────────
;顔面騎乗系
;────────────
44,顔面騎乗
45,顔面騎乗アナル

;────────────
;調教者系
;────────────
46,調教者ペニスバンド

;────────────
;行動系
;────────────
52,野外プレイ
56,大鏡
;<※>
64,押し倒し
;<※>
68,焦らしプレイ
;(bit0=調教対象/bit1=調教者)
69,自慰中

;────────────
;性交系
;────────────
;性交中        (調教者が調教対象に挿入中)(1=正常位/2=後背位/3=騎乗位/4=対面座位/5=背面座位/6=アナルセックス)
70,性交中
;性交奉仕中    (調教対象が調教者に挿入中)(70と同じ)
71,性交奉仕中
;<※>助手性交中(助手が調教対象に挿入中)
72,助手性交中
;助手性交奉仕中(調教対象が助手に挿入中)
73,助手性交奉仕中

;────────────
;着衣露出系
;────────────
88,着衣露出

;────────────
;触手系
;────────────
;<※>
90,触手調教中
91,奴隷の首輪
