
;────────────
;道具所持フラグ
;────────────

;<※>       現在定義(代入)が行われていないフラグ
;!抹消予定! 抹消予定フラグ(主に後方互換のため存在)

;ITEM:  0～49 道具一般
0,ローター,200,
1,バイブ,500,
2,アナルビーズ,300,
3,ペニスバンド,500,

9,カスタム道具,2000,

11,アナルバイブ,1000,
12,クリキャップ,600,
13,ニプルキャップ,600,
14,オナホール,600,
20,アイマスク,300,
21,鞭,500,
22,縄,300,
30,ボールギャグ,300,
31,針,500,
32,浣腸セット,1000,
33,三角木馬,2000,
40,大鏡,1000,
42,首輪,1500,

;薬系、ヒートとクールダウンの計算用
50,ローション,4,
51,媚薬,4,
52,利尿剤,4,

;購入制限関連
60,触手使役術,5,
61,奴隷の首輪,-1

;服装関連
;封印中
;70,コスプレセット
;71,ボンデージ,5000
;72,和服,5000
;73,メイド服,5000
;74,チャイナ服,5000
;75,セーラー服,5000
;76,スク水,5000
;77,バニースーツ,5000
;78,体操服,5000
