
;────────────
;汎用文字列変数
;────────────

;<※>       現在定義(代入)が行われていないフラグ
;!抹消予定! 抹消予定フラグ(主に後方互換のため存在)

;────────────────────────────────────
;屈服実績名        新規追加＋α@revkoishi(14/05/28)
;────────────────────────────────────
;   既存分          Lv1( 0～11) 屈服ポイント+1
1300,好意的反応,    ;【屈服:0】好意的反応(調教対象が積極的従う系を選択)
1301,全裸,          ;【屈服:1】裸に剥いた(MASTERの衣服がなくなる)(※靴下等は着衣に数えない)
1302,勃起,          ;【屈服:2】勃起させた(勃起度1000突破)
1303,快Ｃ,          ;【屈服:3】快Ｃを1000以上与えた
1304,快Ｖ,          ;【屈服:4】快Ｖを1000以上与えた
1305,快Ａ,          ;【屈服:5】快Ａを1000以上与えた 快Ｂになっていたので快Ａに修正@revkoishi(14/06/01)
1306,快Ｂ,          ;【屈服:6】快Ｂを1000以上与えた 快Ａになっていたので快Ｂに修正@revkoishi(14/06/01)
1307,威圧,          ;【屈服:7】苦痛、恐怖(が発生)
1308,鞭,            ;【屈服:8】ムチで叩いた
1309,Ａ調教,        ;【屈服:9】アナル調教(快A発生)
1310,拘束,          ;【屈服:10】拘束した
1311,キス,          ;【屈服:11】キス
;                   Lv2(12～33) 屈服ポイント+2
1312,Ｃ絶頂,        ;【屈服:12】Ｃ絶頂
1313,Ｖ絶頂,        ;【屈服:13】Ｖ絶頂
1314,Ａ絶頂,        ;【屈服:14】Ａ絶頂
1315,Ｂ絶頂,        ;【屈服:15】Ｂ絶頂
1316,野外,          ;【屈服:16】野外プレイ
1317,大鏡,          ;【屈服:17】羞恥プレイ
1318,放尿,          ;【屈服:18】放尿させた(調教対象が従う系を選択)
1319,射精,          ;【屈服:19】射精
1320,大量射精,      ;【屈服:20】大量射精
1321,早漏射精,      ;【屈服:21】射精(早漏)
1322,被膣内射精,    ;【屈服:22】膣内射精された
1323,バイブ,        ;【屈服:23】バイブ
1324,Ａ道具,        ;【屈服:24】アナルバイブ、ビーズ
1325,膣内射精,      ;【屈服:25】膣内射精
1326,自慰絶頂,      ;【屈服:26】自慰絶頂
1327,被口内射精,    ;【屈服:27】口内射精された(フェラ/イラマ中に調教者が射精)
1328,口内射精,      ;【屈服:28】口内射精(調教者フェラ中に射精)
1329,積極奉仕,      ;【屈服:29】積極奉仕(奉仕系もしくは足舐め/イラマ中、積極的に従う)
1330,性交,          ;【屈服:30】性交
1331,腰をふる,      ;【屈服:31】腰をふる(性交中積極的に従う)
1332,情欲,          ;【屈服:32】情欲(調教対象の状態が情欲)
1333,焦らし,        ;【屈服:33】焦らしプレイ
;                   Lv3(34～49) 屈服ポイント+3
1334,拘束絶頂,      ;【屈服:34】拘束絶頂
1335,浣腸,          ;【屈服:35】浣腸
1336,失禁,          ;【屈服:36】失禁
1337,多重絶頂,      ;【屈服:37】多重絶頂(複数箇所同時絶頂)
1338,同時絶頂,      ;【屈服:38】同時絶頂(調教対象、調教者同時絶頂)
1339,性交同時絶頂,  ;【屈服:39】性交同時絶頂(性交中、挿入者射精時に被挿入者がA/V絶頂)
1340,噴乳,          ;【屈服:40】噴乳
1341,肛内射精,      ;【屈服:41】アナルへ射精
1342,被肛内射精,    ;【屈服:42】アナルに射精される
1343,抜かずの二発,  ;【屈服:43】抜かずの二発(射精後挿入を中断せず射精)
1344,空射精,        ;【屈服:44】空射精
1345,前立腺射精,    ;【屈服:45】前立腺射精
1346,Ａ性交・受,    ;【屈服:46】アナルセックス(受け)
1347,Ａ性交・攻,    ;【屈服:47】アナルセックス(攻め)
1348,お仕置き,      ;【屈服:48】お仕置き(お仕置き時、恐怖/苦痛が発生)
1349,イかせて,      ;【屈服:49】イかせて！
;                   Lv4(50～56) 屈服ポイント+5
1350,排泄,          ;【屈服:50】排泄(浣腸器＋プラグ解除時)
1351,公衆便所,      ;【屈服:51】公衆便所(公衆肉便器プレイ受容時)
1352,三角木馬,      ;【屈服:52】三角木馬
1353,Ｖ拡張,        ;【屈服:53】Ｖ拡張(フィスト/両穴フィスト時)
1354,Ａ拡張,        ;【屈服:54】Ａ拡張(Aフィスト/両穴フィスト時)
1355,抜かずの三発,  ;【屈服:55】抜かずの三発(抜かずの二発後挿入を中断せず射精)
1356,失神,          ;【屈服:56】失神
;                   Lv5(57～58) 屈服ポイント+10
1357,処女喪失,      ;【屈服:57】処女喪失
1358,童貞喪失,      ;【屈服:58】童貞喪失
;   以下、追加分    LvX(59～111)屈服ポイント+X
